         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      337    0.000    0.000    0.009    0.000 pathlib.py:1368(is_dir)
        8    0.000    0.000    0.001    0.000 spawn.py:139(get_preparation_data)
       17    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 socket.py:357(send)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     3041    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
      622    0.000    0.000    0.000    0.000 enum.py:289(__call__)
       47    0.000    0.000    0.080    0.002 popen_spawn_win32.py:97(wait)
2273/2159    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      341    0.000    0.000    0.000    0.000 pathlib.py:692(_format_parsed_parts)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      382    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       16    0.000    0.000    0.000    0.000 process.py:326(__reduce__)
   123/25    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
  111/110    0.000    0.000    1.839    0.017 <frozen importlib._bootstrap>:576(module_from_spec)
      402    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.001    0.001 management.py:15(<module>)
      666    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.002    0.002 ParameterClasses.py:17(<module>)
      148    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      157    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       44    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
      299    0.000    0.000    0.000    0.000 inspect.py:2551(__str__)
      336    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      111    0.000    0.000    0.000    0.000 decorators.py:439(_synchronized)
        5    0.000    0.000    1.836    0.367 __init__.py:1(<module>)
      111    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1709    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.000    0.000 process.py:72(__init__)
      341    0.000    0.000    0.001    0.000 pathlib.py:719(__fspath__)
      336    0.000    0.000    0.010    0.000 pathlib.py:507(_select_from)
        2    0.000    0.000    0.004    0.002 Functions.py:17(<module>)
       56    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
     1105    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 _symbology.py:15(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method listenvironments}
       70    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1438    0.000    0.000    0.000    0.000 _base.py:516(gptooldoc)
      215    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      708    0.000    0.000    0.000    0.000 inspect.py:2799(<genexpr>)
       32    0.000    0.000    0.001    0.000 connection.py:946(reduce_pipe_connection)
      181    0.000    0.000    0.001    0.000 CompoundParameter.py:84(_addProperty)
      111    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      112    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        3    0.000    0.000    0.000    0.000 __init__.py:381(__getitem__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       32    0.000    0.000    0.000    0.000 reduction.py:102(__init__)
       62    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
      385    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      208    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      243    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      312    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      259    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 ntpath.py:523(abspath)
        1    0.000    0.000    0.124    0.124 pool.py:571(_terminate_pool)
       32    0.000    0.000    0.000    0.000 random.py:256(choice)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      104    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.039    0.039 ddd.py:15(<module>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      259    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       16    0.000    0.000    0.003    0.000 reduction.py:58(dump)
       32    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        9    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
       61    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.014    0.014 queues.py:10(<module>)
        1    0.000    0.000    0.062    0.062 pool.py:227(_repopulate_pool)
        6    0.000    0.000    0.001    0.000 _base.py:168(addMessage)
      622    0.000    0.000    0.000    0.000 enum.py:531(__new__)
      338    0.000    0.000    0.009    0.000 pathlib.py:1178(stat)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      425    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        8    0.000    0.000    0.061    0.008 context.py:319(_Popen)
    31/11    0.000    0.000    0.002    0.000 sre_parse.py:411(_parse_sub)
      683    0.000    0.000    0.000    0.000 pathlib.py:1034(_init)
        1    0.000    0.000   17.917   17.917 scripttool.py:1(<module>)
      104    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      746    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        9    0.000    0.000    0.000    0.000 util.py:186(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
       10    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
       48    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        1    0.000    0.000    0.000    0.000 analysis.py:15(<module>)
        4    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       12    0.000    0.000    0.005    0.000 re.py:273(_compile)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      336    0.000    0.000    0.000    0.000 pathlib.py:45(_ignore_error)
        3    0.000    0.000    0.080    0.027 process.py:133(join)
        1    0.000    0.000    0.018    0.018 _mp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 spawn.py:41(set_executable)
       31    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
      119    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
    135/6    0.000    0.000    2.583    0.430 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       10    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      391    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      135    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       20    0.000    0.000    0.000    0.000 threading.py:1092(is_alive)
   376/91    0.000    0.000    0.000    0.000 time.py:271(crossproduct)
        4    0.000    0.000    0.001    0.000 connection.py:130(__del__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       25    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
      291    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      746    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       83    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.061    0.008 process.py:101(start)
        1    0.000    0.000   17.930   17.930 interactiveshell.py:2713(safe_execfile)
       44    0.000    0.000    0.000    0.000 popen_spawn_win32.py:113(poll)
       88    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        8    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
        8    0.000    0.000    0.000    0.000 subprocess.py:272(_args_from_interpreter_flags)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       11    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      111    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.011    0.011 na.py:15(<module>)
      625    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      7/6    0.000    0.000    1.836    0.306 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 _base.py:183(addError)
      268    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       16    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        1    0.000    0.000    0.011    0.011 arcobjects.py:15(<module>)
      897    0.000    0.000    0.000    0.000 inspect.py:2517(name)
        1    0.000    0.000    0.000    0.000 __init__.py:431(__getattr__)
       32    0.000    0.000    0.000    0.000 connection.py:168(fileno)
        7    0.000    0.000    0.000    0.000 _base.py:530(<listcomp>)
        1    0.000    0.000    0.011    0.011 _ba.py:17(<module>)
        1    0.000    0.000    0.009    0.009 mixins.py:15(<module>)
        1    0.000    0.000    0.110    0.110 pool.py:155(__init__)
