         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      155    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       23    0.000    0.000    0.000    0.000 threading.py:1050(_wait_for_tstate_lock)
       11    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        9    0.000    0.000    0.000    0.000 _base.py:28(gp_fixarg)
        1    0.000    0.000    0.000    0.000 _base.py:66(Geoprocessor)
        8    0.000    0.000    0.000    0.000 _base.py:38(gp_fixargs)
       26    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.000    0.000 pool.py:375(_map_async)
        1    0.000    0.000    0.001    0.001 geocoding.py:15(<module>)
        1    0.000    0.000    0.002    0.002 _mp.py:2047(MapFrame)
       40    0.000    0.000    0.000    0.000 popen_spawn_win32.py:54(<genexpr>)
        1    0.000    0.000    0.000    0.000 context.py:232(get_context)
        1    0.000    0.000    0.005    0.005 wmx.py:15(<module>)
       11    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
       64    0.000    0.000    0.000    0.000 connection.py:158(readable)
       31    0.000    0.000    0.000    0.000 enum.py:340(__getattr__)
       16    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
        1    0.000    0.000    0.000    0.000 intelligence.py:15(<module>)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 pathlib.py:1416(is_symlink)
       93    0.000    0.000    0.000    0.000 enum.py:203(<genexpr>)
        8    0.000    0.000    0.001    0.000 process.py:119(terminate)
        2    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
       32    0.000    0.000    0.000    0.000 context.py:352(assert_spawning)
        1    0.000    0.000    0.000    0.000 geoanalytics.py:15(<module>)
        1    0.000    0.000    0.002    0.002 _ia.py:14(<module>)
        1    0.000    0.000    0.001    0.001 charts.py:15(<module>)
       16    0.000    0.000    0.000    0.000 iostream.py:307(_is_master_process)
        1    0.000    0.000    0.000    0.000 defense.py:15(<module>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
        8    0.000    0.000    0.000    0.000 subprocess.py:262(_optim_args_from_interpreter_flags)
        1    0.000    0.000    0.121    0.121 context.py:114(Pool)
        8    0.000    0.000    0.000    0.000 spawn.py:121(_check_not_importing_main)
        1    0.000    0.000    0.000    0.000 sfa.py:15(<module>)
       17    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 agolservices.py:15(<module>)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2584(SpatialReference)
        1    0.000    0.000    0.000    0.000 ca.py:15(<module>)
        1    0.000    0.000    0.001    0.001 _mp.py:1741(Map)
        2    0.000    0.000    0.011    0.005 queues.py:330(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        5    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        1    0.000    0.000    0.000    0.000 _base.py:547(GPEnvironment)
        1    0.000    0.000    0.000    0.000 lr.py:15(<module>)
       48    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
        1    0.000    0.000    0.000    0.000 maritime.py:15(<module>)
       64    0.000    0.000    0.000    0.000 connection.py:163(writable)
       14    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 random.py:97(seed)
        1    0.000    0.000    0.020    0.020 arcobjectconversion.py:28(initialize_conversion_mapping)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        1    0.000    0.000    0.000    0.000 edit.py:15(<module>)
       54    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:610(__getitem__)
        6    0.000    0.000    0.001    0.000 __init__.py:323(AddMessage)
       26    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.043    0.043 pool.py:562(_help_stuff_finish)
        1    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        1    0.000    0.000    0.000    0.000 md.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000018A769DC3A8}
      135    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 arcobjects.py:871(GeoProcessor)
        1    0.000    0.000    0.000    0.000 RasterCollection.py:15(<module>)
        1    0.000    0.000    0.000    0.000 charts.py:36(Chart)
        9    0.000    0.000    0.000    0.000 threading.py:1225(current_thread)
        1    0.000    0.000    0.000    0.000 tn.py:15(<module>)
        2    0.000    0.000    0.033    0.016 context.py:109(SimpleQueue)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       50    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        8    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       27    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 _mp.py:444(Layer)
        2    0.000    0.000    0.000    0.000 __init__.py:497(cast)
       18    0.000    0.000    0.000    0.000 iostream.py:93(_event_pipe)
        1    0.000    0.000    0.000    0.000 metadata.py:64(Metadata)
        1    0.000    0.000    0.001    0.001 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parcel.py:15(<module>)
        1    0.000    0.000    0.000    0.000 ntpath.py:219(dirname)
       62    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        1    0.000    0.000    0.000    0.000 enum.py:835(__or__)
       38    0.000    0.000    0.000    0.000 process.py:90(_check_closed)
      110    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 pool.py:631(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        4    0.000    0.000    0.000    0.000 threading.py:499(__init__)
       32    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      110    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
      110    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
        1    0.000    0.000    0.000    0.000 arcobjects.py:1234(Geometry)
        1    0.000    0.000    0.001    0.001 _mp.py:2859(MapView)
        1    0.000    0.000    0.000    0.000 _wmx.py:288(Job)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.000    0.000 indoors.py:15(<module>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 context.py:40(cpu_count)
        1    0.000    0.000    0.000    0.000 charts.py:109(_Guides)
       65    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      155    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        6    0.000    0.000    0.000    0.000 threading.py:1116(daemon)
        1    0.000    0.000    0.000    0.000 __init__.py:145(<listcomp>)
        1    0.000    0.000    0.000    0.000 mp.py:15(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 _symbology.py:216(ClassBreak)
        1    0.000    0.000    0.000    0.000 stpm.py:15(<module>)
        1    0.000    0.000    0.000    0.000 reviewer.py:15(<module>)
        2    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
       25    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.001    0.001 _mp.py:920(Layout)
        1    0.000    0.000    0.000    0.000 _mp.py:23(constants)
        3    0.000    0.000    0.000    0.000 threading.py:977(_stop)
        1    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.000    0.000 da.py:14(<module>)
       30    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 _renderer.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method today}
        4    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       22    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       30    0.000    0.000    0.000    0.000 threading.py:507(is_set)
        1    0.000    0.000    0.000    0.000 context.py:171(set_executable)
       11    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        4    0.000    0.000    0.000    0.000 tempfile.py:156(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.WriteFile}
        1    0.000    0.000    0.000    0.000 sharing.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 CompoundParameter.py:17(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
        1    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        8    0.000    0.000    0.000    0.000 context.py:248(get_start_method)
        1    0.000    0.000    0.000    0.000 connection.py:181(send_bytes)
       11    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        1    0.000    0.000    0.560    0.560 _base.py:68(__init__)
       45    0.000    0.000    0.000    0.000 _base.py:522(<genexpr>)
        1    0.000    0.000    0.000    0.000 _mp.py:3479(MapSeries)
        1    0.000    0.000    0.000    0.000 charts.py:88(_axis)
        1    0.000    0.000    0.000    0.000 Utils.py:17(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:1012(join)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        3    0.000    0.000    0.000    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
        1    0.000    0.000    0.001    0.001 _base.py:15(<module>)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2069(Parameter)
        4    0.000    0.000    0.000    0.000 pathlib.py:703(_make_child)
        8    0.000    0.000    0.000    0.000 process.py:184(name)
       41    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       16    0.000    0.000    0.000    0.000 iostream.py:320(_schedule_flush)
        1    0.000    0.000    0.000    0.000 _mp.py:1522(LegendElement)
        1    0.000    0.000    0.000    0.000 queues.py:356(put)
       14    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 pathlib.py:483(select_from)
        1    0.000    0.000    0.000    0.000 _mp.py:704(LayerFile)
       19    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 arcobjects.py:245(Extent)
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _mp.py:196(ArcGISProject)
        1    0.000    0.000    0.000    0.000 connection.py:279(_send_bytes)
        1    0.000    0.000    0.000    0.000 pool.py:676(__init__)
        8    0.000    0.000    0.000    0.000 process.py:196(daemon)
        1    0.000    0.000    0.001    0.001 metadata.py:2(<module>)
       12    0.000    0.000    0.005    0.000 re.py:234(compile)
        1    0.000    0.000    0.000    0.000 _rs.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
       24    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        4    0.000    0.000    0.000    0.000 threading.py:252(_acquire_restore)
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
        4    0.000    0.000    0.000    0.000 typing.py:1344(<listcomp>)
       35    0.000    0.000    0.000    0.000 _base.py:530(<genexpr>)
        2    0.000    0.000    0.000    0.000 tempfile.py:84(_exists)
       11    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _colorizer.py:15(<module>)
        1    0.000    0.000    0.001    0.001 _vrps.py:1(<module>)
        1    0.000    0.000    2.359    2.359 __init__.py:14(<module>)
       55    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 arcobjectconversion.py:15(<module>)
        1    0.000    0.000    0.001    0.001 _symbology.py:41(Symbology)
        1    0.000    0.000    0.001    0.001 _sas.py:1(<module>)
       18    0.000    0.000    0.000    0.000 ntpath.py:212(basename)
       27    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       31    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       55    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 interop.py:15(<module>)
        8    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        1    0.000    0.000   14.351   14.351 pool.py:270(starmap)
        1    0.000    0.000    0.000    0.000 queues.py:34(Queue)
       20    0.000    0.000    0.000    0.000 enum.py:628(name)
        1    0.000    0.000    0.000    0.000 syspathcontext.py:55(__exit__)
        1    0.000    0.000    0.000    0.000 mixins.py:616(MapDocumentMixin)
        1    0.000    0.000    0.124    0.124 pool.py:544(terminate)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
        1    0.000    0.000    0.000    0.000 _nds.py:10(NetworkDataset)
       11    0.000    0.000    0.000    0.000 enum.py:912(_power_of_two)
        1    0.000    0.000    0.000    0.000 RasterCollection.py:47(RasterCollection)
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
        2    0.000    0.000    0.000    0.000 pathlib.py:190(compile_pattern)
        1    0.000    0.000    0.002    0.002 _base.py:536(GPEnvironments)
        1    0.000    0.000    0.000    0.000 pdfdocument.py:15(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.033    0.033 pool.py:250(_setup_queues)
       22    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 _odcms.py:1(<module>)
        2    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 _ga.py:276(CrossValidationResult)
        1    0.000    0.000    0.000    0.000 PixelBlockCollection.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
        1    0.000    0.000    0.000    0.000 __init__.py:374(AddError)
       12    0.000    0.000    0.000    0.000 _base.py:57(passthrough_attr)
        1    0.000    0.000    0.000    0.000 _renderer.py:27(UniqueValueRenderer)
        1    0.000    0.000    0.000    0.000 _cfs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _las.py:1(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:1131(daemon)
        1    0.000    0.000    0.000    0.000 _geocoding.py:14(<module>)
       27    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2565(Schema)
        1    0.000    0.000    0.000    0.000 _mp.py:2644(MapTime)
        1    0.000    0.000    0.000    0.000 multicode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nds.py:1(<module>)
       10    0.000    0.000    0.000    0.000 enum.py:860(_high_bit)
        1    0.000    0.000    0.000    0.000 _renderer.py:101(Graduated_symbols_renderer)
        1    0.000    0.000    0.001    0.001 Mensuration.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:146(Pool)
        1    0.000    0.000    0.000    0.000 time.py:264(<listcomp>)
        1    0.000    0.000    0.000    0.000 _utbx.py:3(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:188(<listcomp>)
        2    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        3    0.000    0.000    0.000    0.000 re.py:254(escape)
        2    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        1    0.000    0.000    0.000    0.000 arcobjects.py:435(Field)
        1    0.000    0.000    0.000    0.000 EnvManager.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _mp.py:2820(TextElement)
        1    0.000    0.000    0.000    0.000 da.py:17(<listcomp>)
        1    0.000    0.000    0.000    0.000 RasterToXarray.py:15(<module>)
        1    0.000    0.000   14.351   14.351 pool.py:650(get)
        1    0.000    0.000    0.000    0.000 _mp.py:906(LayerTime)
        1    0.000    0.000    0.001    0.001 Mensuration.py:19(Mensuration)
        8    0.000    0.000    0.000    0.000 process.py:204(authkey)
       42    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 _wmx.py:269(ExtendedPropertyValue)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.001    0.001 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _mp.py:2634(MapSurroundElement)
        1    0.000    0.000    0.000    0.000 _renderer.py:77(Graduated_colors_renderer)
        1    0.000    0.000    0.000    0.000 _base.py:14(_NamedAttrObject)
        1    0.000    0.000    0.000    0.000 charts.py:495(Bar)
        4    0.000    0.000    0.001    0.000 connection.py:276(_close)
        1    0.000    0.000    0.000    0.000 locale.py:627(_normalize_winlocalename)
        3    0.000    0.000    0.000    0.000 __init__.py:374(__getattr__)
       66    0.000    0.000    0.000    0.000 _base.py:569(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 _mp.py:363(Camera)
        1    0.000    0.000    0.000    0.000 _mp.py:2679(PictureElement)
        1    0.000    0.000    0.000    0.000 _symbology.py:169(Symbol)
       11    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 _vrps.py:12(VehicleRoutingProblemInputDataType)
        1    0.000    0.000    0.000    0.000 _wmx.py:251(ExtendedProperty)
        1    0.000    0.000    0.000    0.000 util.py:15(<module>)
        7    0.000    0.000    0.000    0.000 _base.py:123(pass_parameterized_attr)
        1    0.000    0.000    0.000    0.000 _mp.py:395(GraphicElement)
        1    0.000    0.000    0.000    0.000 _vrps.py:26(VehicleRoutingProblemInputDataType2)
        1    0.000    0.000    0.000    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.000    0.000 traitlets.py:526(get)
        1    0.000    0.000    0.000    0.000 _wmx.py:33(HoldType)
        1    0.000    0.000    0.000    0.000 charts.py:657(Line)
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
        1    0.000    0.000    0.000    0.000 os.py:746(encodekey)
        2    0.000    0.000    0.000    0.000 pathlib.py:742(_cparts)
        4    0.000    0.000    0.000    0.000 pathlib.py:916(joinpath)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2370(Result)
        1    0.000    0.000    0.000    0.000 pdfdocument.py:34(PDFDocument)
        4    0.000    0.000    0.000    0.000 threading.py:249(_release_save)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 charts.py:757(Histogram)
        1    0.000    0.000    0.661    0.661 __init__.py:1251(Describe)
        1    0.000    0.000    0.000    0.000 PixelBlockCollection.py:6(PixelBlock)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 arcobjects.py:452(FieldInfo)
        1    0.000    0.000    0.000    0.000 _solvers.py:15(MessageSeverity)
        1    0.000    0.000    0.000    0.000 _colorizer.py:27(RasterClassifyColorizer)
        1    0.000    0.000    0.000    0.000 charts.py:1114(CalendarHeat)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:46(__exit__)
       18    0.000    0.000    0.000    0.000 process.py:36(current_process)
        9    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        7    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 arcobjects.py:641(FieldMap)
        1    0.000    0.000    0.000    0.000 _mp.py:1596(LegendItem)
        1    0.000    0.000    0.000    0.000 _renderer.py:140(Unclassed_colors_renderer)
        1    0.000    0.000    0.000    0.000 _rs.py:11(RouteInputDataType)
        4    0.000    0.000    0.000    0.000 context.py:186(get_context)
        3    0.000    0.000    0.000    0.000 process.py:225(ident)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2180(Point)
        1    0.000    0.000    0.000    0.000 _colorizer.py:56(RasterStretchColorizer)
        1    0.000    0.000    0.000    0.000 charts.py:1042(DataClock)
        1    0.000    0.000    0.000    0.000 pathlib.py:1319(lstat)
        1    0.000    0.000    0.000    0.000 arcobjects.py:767(FieldMappings)
        1    0.000    0.000    0.000    0.000 time.py:34(EsriTimeDelta)
        1    0.000    0.000    0.000    0.000 time.py:126(TimeZoneInfo)
        2    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        8    0.000    0.000    0.000    0.000 process.py:180(name)
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 arcobjects.py:22(ArcSDESQLExecute)
        1    0.000    0.000    0.000    0.000 geometries.py:38(Multipoint)
        1    0.000    0.000    0.000    0.000 _rs.py:20(RouteOutputDataType)
        1    0.000    0.000    0.000    0.000 charts.py:579(Box)
        1    0.000    0.000    0.000    0.000 charts.py:1193(MatrixHeat)
        1    0.000    0.000    0.000    0.000 CompoundParameter.py:39(_CompoundParameter)
        2    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:199(GeometrySpecializationMixin)
        1    0.000    0.000    0.000    0.000 charts.py:241(_line)
        1    0.000    0.000    0.000    0.000 charts.py:962(ScatterMatrix)
        1    0.000    0.000    0.000    0.000 pathlib.py:940(parents)
        2    0.000    0.000    0.000    0.000 __init__.py:12(VS_FIXEDFILEINFO)
        1    0.000    0.000    0.000    0.000 _solvers.py:47(DistanceUnits)
        1    0.000    0.000    0.000    0.000 _odcms.py:11(OriginDestinationCostMatrixInputDataType)
        1    0.000    0.000    0.000    0.000 _wmx.py:651(Hold)
        1    0.000    0.000    0.000    0.000 charts.py:217(_bar)
        1    0.000    0.000   14.351   14.351 pool.py:647(wait)
        1    0.000    0.000    0.000    0.000 arcobjects.py:76(Array)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 _vrps.py:52(VehicleRoutingProblemOutputDataType2)
        2    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        4    0.000    0.000    0.000    0.000 pathlib.py:101(join_parsed_parts)
        1    0.000    0.000    0.000    0.000 util.py:73(find_spec)
        1    0.000    0.000    0.000    0.000 scripttool.py:21(get_install_path)
        1    0.000    0.000    0.000    0.000 _sas.py:11(ServiceAreaInputDataType)
        1    0.000    0.000    0.000    0.000 charts.py:836(Scatter)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2516(Row)
        1    0.000    0.000    0.000    0.000 pathlib.py:930(parent)
        9    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
        1    0.000    0.000    0.000    0.000 arcobjects.py:1943(NetCDFFileProperties)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2786(ValueTable)
        1    0.000    0.000    0.000    0.000 _cfs.py:17(ClosestFacilityInputDataType)
        1    0.000    0.000    0.000    0.000 _las.py:11(LocationAllocationInputDataType)
        1    0.000    0.000    0.000    0.000 connection.py:348(Connection)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:39(__enter__)
        1    0.000    0.000    0.000    0.000 mixins.py:409(LayerMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:513(ImageFileExportMixin)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.000    0.000 _colorizer.py:42(RasterUniqueValueColorizer)
        1    0.000    0.000    0.000    0.000 metadata.py:8(_metadata_constants)
        1    0.000    0.000    0.000    0.000 _cfs.py:27(ClosestFacilityOutputDataType)
        1    0.000    0.000    0.000    0.000 _las.py:29(LocationAllocationProblemType)
        1    0.000    0.000    0.000    0.000 os.py:772(getenv)
      2/1    0.000    0.000    0.000    0.000 pathlib.py:503(__init__)
        1    0.000    0.000    0.000    0.000 _wmx.py:813(Configuration)
        1    0.000    0.000    0.124    0.124 pool.py:622(__exit__)
        5    0.000    0.000    0.000    0.000 enum.py:633(value)
        1    0.000    0.000    0.000    0.000 _solvers.py:66(RouteShapeType)
        1    0.000    0.000    0.000    0.000 _vrps.py:43(VehicleRoutingProblemOutputDataType)
        1    0.000    0.000    0.000    0.000 _cfs.py:10(TimeOfDayUsage)
        1    0.000    0.000    0.000    0.000 _wmx.py:172(QueryRow)
        1    0.000    0.000    0.000    0.000 Utils.py:65(ParameterErrors)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2959(VfSecCos)
        1    0.000    0.000    0.000    0.000 connection.py:569(SocketListener)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:39(Popen)
        1    0.000    0.000    0.000    0.000 mixins.py:359(RasterClassifiedExclusionMixin)
        1    0.000    0.000    0.000    0.000 _renderer.py:63(SimpleRenderer)
        1    0.000    0.000    0.000    0.000 _solvers.py:38(TimeUnits)
        1    0.000    0.000    0.000    0.000 _wmx.py:150(QueryField)
        1    0.000    0.000    0.000    0.000 charts.py:253(_histogram)
        1    0.000    0.000    0.000    0.000 charts.py:900(QQPlot)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2808(VfCos)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _base.py:38(_BaseArcObject)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 _mp.py:1608(Report)
        1    0.000    0.000    0.000    0.000 _solvers.py:24(TimeZoneUsage)
        1    0.000    0.000    0.000    0.000 _solvers.py:58(DirectionsStyle)
        1    0.000    0.000    0.000    0.000 _odcms.py:21(OriginDestinationCostMatrixOutputDataType)
        1    0.000    0.000    0.000    0.000 _las.py:21(LocationAllocationOutputDataType)
        1    0.000    0.000    0.000    0.000 charts.py:273(_dataClock)
        1    0.000    0.000    0.000    0.000 charts.py:283(_calendarHeatChart)
        1    0.000    0.000    0.000    0.000 charts.py:293(_matrixHeatChart)
        1    0.000    0.000    0.000    0.000 connection.py:422(Listener)
        1    0.000    0.000    0.000    0.000 pathlib.py:751(__eq__)
        4    0.000    0.000    0.000    0.000 typing.py:1345(<listcomp>)
        8    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 arcobjects.py:177(Cursor)
        1    0.000    0.000    0.000    0.000 mixins.py:590(MapDocumentMethods)
        1    0.000    0.000    0.000    0.000 _sas.py:43(ServiceAreaPolygonDetail)
        1    0.000    0.000    0.000    0.000 _sas.py:51(ServiceAreaOutputType)
        1    0.000    0.000    0.000    0.000 _wmx.py:13(ConfigItem)
        1    0.000    0.000    0.000    0.000 _wmx.py:663(WorkflowStep)
        1    0.000    0.000    0.000    0.000 _wmx.py:685(WorkflowConnection)
        1    0.000    0.000    0.000    0.000 EnvManager.py:18(EnvManager)
